2024-06-11 12:21:12,623 INFO Trade executed: {'date': '2023-01-30', 'price': 406010.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:12,965 INFO Trade executed: {'date': '2023-01-30', 'price': 398245.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:13,308 INFO Trade executed: {'date': '2023-01-31', 'price': 403954.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:13,648 INFO Trade executed: {'date': '2023-01-31', 'price': 405246.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:13,989 INFO Trade executed: {'date': '2023-01-31', 'price': 405490.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:14,328 INFO Trade executed: {'date': '2023-02-01', 'price': 404761.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:14,808 INFO Trade executed: {'date': '2023-02-01', 'price': 399707.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:15,153 INFO Trade executed: {'date': '2023-02-01', 'price': 406826.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:15,489 INFO Trade executed: {'date': '2023-02-02', 'price': 409687.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:15,824 INFO Trade executed: {'date': '2023-02-02', 'price': 410328.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:16,165 INFO Trade executed: {'date': '2023-02-02', 'price': 405185.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:16,501 INFO Trade executed: {'date': '2023-02-03', 'price': 406336.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:16,834 INFO Trade executed: {'date': '2023-02-03', 'price': 414672.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:17,177 INFO Trade executed: {'date': '2023-02-03', 'price': 412792.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:17,517 INFO Trade executed: {'date': '2023-02-04', 'price': 412259.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:17,858 INFO Trade executed: {'date': '2023-02-04', 'price': 413496.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:18,197 INFO Trade executed: {'date': '2023-02-04', 'price': 411761.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:18,538 INFO Trade executed: {'date': '2023-02-05', 'price': 413700.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:18,873 INFO Trade executed: {'date': '2023-02-05', 'price': 408617.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:19,213 INFO Trade executed: {'date': '2023-02-05', 'price': 405762.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:19,548 INFO Trade executed: {'date': '2023-02-06', 'price': 404095.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:19,890 INFO Trade executed: {'date': '2023-02-06', 'price': 409624.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:20,231 INFO Trade executed: {'date': '2023-02-06', 'price': 404868.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:20,570 INFO Trade executed: {'date': '2023-02-07', 'price': 408446.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:20,905 INFO Trade executed: {'date': '2023-02-07', 'price': 407660.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:21,244 INFO Trade executed: {'date': '2023-02-07', 'price': 409823.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:21,583 INFO Trade executed: {'date': '2023-02-08', 'price': 410678.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:21,922 INFO Trade executed: {'date': '2023-02-08', 'price': 409646.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:22,260 INFO Trade executed: {'date': '2023-02-08', 'price': 409379.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:22,603 INFO Trade executed: {'date': '2023-02-09', 'price': 405916.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:22,937 INFO Trade executed: {'date': '2023-02-09', 'price': 403839.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:23,276 INFO Trade executed: {'date': '2023-02-09', 'price': 390313.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
2024-06-11 12:21:23,607 INFO Trade executed: {'date': '2023-02-10', 'price': 392079.0, 'buy': 0, 'sell': 0, 'ID': 100, 'profit': 0.0, 'drawdown': 0.0, 'stop_loss_hit': False}
